idrealestate;type;typeOfOffer;city;municipality;squareFootage;constructionYear;landArea;floorInfo;registration;heatingType;roomNo;bathroomNo;price;country;con;pl;pumpaIliKalorimetri
300;home;sale;Kotor;NULL;497;NULL;NULL;NULL;NULL;"Centralno, Podno";NULL;NULL;3500000;"Crna Gora";NULL;yes;pumpa
566;flat;rent;"Novi Sad";Bulevar;28;NULL;NULL;"4 / 8";NULL;Centralno;1;NULL;260;Srbija;Novogradnja;NULL;kalorimetri
668;flat;sale;Beograd;Čubura;96;NULL;NULL;"3 / 4";NULL;Centralno;4;NULL;219000;Srbija;Novogradnja;NULL;kalorimetri
704;flat;sale;Beograd;"Crveni krst";64;NULL;NULL;"2 / 5";Da;Centralno;2.5;1;128000;Srbija;Novogradnja;NULL;kalorimetri
706;flat;sale;Beograd;"Lekino brdo";110;NULL;NULL;"4 / 4";Da;Centralno;NULL;2;220000;Srbija;Novogradnja;NULL;kalorimetri
803;flat;sale;Beograd;"Beograd na vodi";56;NULL;NULL;"21 / -";Da;Centralno;2;1;196888;Srbija;Novogradnja;NULL;kalorimetri
805;flat;sale;Beograd;"Beograd na vodi";55;NULL;NULL;"23 / 24";Da;Centralno;2;1;186888;Srbija;Novogradnja;NULL;kalorimetri
810;flat;sale;Beograd;"Beograd na vodi";51;NULL;NULL;"5 / 17";Da;Centralno;2;1;156888;Srbija;Novogradnja;NULL;kalorimetri
811;flat;sale;Pančevo;Centar;68;NULL;NULL;"3 / -";Da;Centralno;NULL;1;82000;Srbija;Novogradnja;NULL;kalorimetri
991;flat;sale;Beograd;"Crveni krst";60;NULL;NULL;"1 / 5";NULL;Centralno;3;1;138000;Srbija;Novogradnja;NULL;kalorimetri
1044;flat;sale;Beograd;"Beograd na vodi";139;NULL;NULL;"15 / 17";Da;Centralno;4;3;661888;Srbija;Novogradnja;NULL;kalorimetri
1091;flat;sale;Beograd;"Crveni krst";69;2020;NULL;"0 / 3";NULL;Centralno;3;NULL;158535;Srbija;Novogradnja;NULL;kalorimetri
1117;flat;sale;"Novi Sad";Detelinara;64;NULL;NULL;"6 / 6";NULL;Centralno;NULL;NULL;81425;Srbija;Novogradnja;NULL;kalorimetri
1120;flat;sale;"Novi Sad";Detelinara;40;NULL;NULL;"6 / 6";NULL;Centralno;NULL;NULL;59415;Srbija;Novogradnja;NULL;kalorimetri
1121;flat;sale;"Novi Sad";Detelinara;68;NULL;NULL;"6 / 6";NULL;Centralno;NULL;NULL;84575;Srbija;Novogradnja;NULL;kalorimetri
1126;flat;sale;"Novi Sad";Podbara;69;2020;NULL;"2 / 4";Da;Centralno;NULL;NULL;87465;Srbija;Novogradnja;NULL;kalorimetri
1127;flat;sale;"Novi Sad";Podbara;66;2020;NULL;"1 / 4";Da;Centralno;NULL;NULL;83325;Srbija;Novogradnja;NULL;kalorimetri
1128;flat;sale;"Novi Sad";Podbara;64;2020;NULL;"1 / 4";Da;Centralno;NULL;NULL;81255;Srbija;Novogradnja;NULL;kalorimetri
1129;flat;sale;"Novi Sad";Podbara;63;2020;NULL;"1 / 4";Da;Centralno;NULL;NULL;80112;Srbija;Novogradnja;NULL;kalorimetri
1130;flat;sale;"Novi Sad";Podbara;67;2020;NULL;"4 / 4";Da;Centralno;NULL;NULL;84773;Srbija;Novogradnja;NULL;kalorimetri
1150;flat;sale;"Novi Sad";Podbara;59;2020;NULL;"4 / 4";Da;Centralno;NULL;NULL;75413;Srbija;Novogradnja;NULL;kalorimetri
1187;flat;sale;"Novi Sad";Podbara;62;2020;NULL;"4 / 4";Da;Centralno;NULL;NULL;78448;Srbija;Novogradnja;NULL;kalorimetri
1306;flat;sale;Beograd;Voždovac;84;2020;NULL;"3 / 3";NULL;Centralno;4;NULL;199900;Srbija;Novogradnja;NULL;kalorimetri
1335;flat;sale;Beograd;"Botanička bašta";65;2019;NULL;"3 / 6";NULL;Centralno;3;NULL;184000;Srbija;Novogradnja;NULL;kalorimetri
1373;flat;sale;Beograd;"Beograd na vodi";55;NULL;NULL;"22 / 23";Da;Centralno;2;NULL;225000;Srbija;Novogradnja;NULL;kalorimetri
1382;flat;sale;Beograd;"Gornji Dorćol";46;2017;NULL;"4 / 6";Da;Centralno;2;NULL;139000;Srbija;Novogradnja;NULL;kalorimetri
1435;flat;sale;Beograd;Tašmajdan;51;2018;NULL;"4 / 6";Da;Centralno;2;NULL;177000;Srbija;Novogradnja;NULL;kalorimetri
1484;home;sale;Beograd;Kaluđerica;360;2009;NULL;NULL;Da;Samostalno;8;NULL;195000;Srbija;Novogradnja;NULL;pumpa
2376;flat;sale;Beograd;"Novi Beograd Blok 45 (TC Enjub)";70;NULL;NULL;"3 / 9";NULL;Centralno;2;NULL;154000;Srbija;Novogradnja;NULL;kalorimetri
2568;flat;sale;Beograd;"Višnjička banja";76;NULL;NULL;"3 / 5";NULL;Centralno;3;1;95000;Srbija;U;NULL;kalorimetri
2637;flat;rent;Beograd;"Donji Dorćol";67;NULL;NULL;"5 / 8";Da;Centralno;NULL;1;700;Srbija;Novogradnja;NULL;kalorimetri
2687;flat;sale;"Novi Sad";"Novo Naselje";72;NULL;NULL;"2 / 5";NULL;Centralno;NULL;1;94900;Srbija;NULL;NULL;kalorimetri
2741;flat;sale;"Novi Sad";Bulevar;89;NULL;NULL;"2 / 9";Da;Centralno;3;2;183340;Srbija;Novogradnja;NULL;kalorimetri
2952;flat;sale;"Novi Sad";"Novo Naselje";72;NULL;NULL;"2 / 5";NULL;Centralno;NULL;1;94900;Srbija;NULL;NULL;kalorimetri
3003;flat;sale;"Novi Sad";Bulevar;89;NULL;NULL;"2 / 9";Da;Centralno;3;2;183340;Srbija;Novogradnja;NULL;kalorimetri
3126;flat;rent;Beograd;"Donji Dorćol";67;NULL;NULL;"5 / 8";Da;Centralno;NULL;1;700;Srbija;Novogradnja;NULL;kalorimetri
3140;flat;sale;Beograd;"Crveni krst";39;NULL;NULL;"0 / 7";Da;Centralno;2;NULL;74568;Srbija;Novogradnja;NULL;kalorimetri
3200;flat;rent;Beograd;"Donji Dorćol";67;NULL;NULL;"5 / 8";Da;Centralno;NULL;1;700;Srbija;Novogradnja;NULL;kalorimetri
3223;flat;sale;Beograd;"Crveni krst";39;NULL;NULL;"0 / 7";Da;Centralno;2;NULL;74568;Srbija;Novogradnja;NULL;kalorimetri
